Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
Aug,93.6875,-15.61290323,-36.22580645,-47.35483871,-46,11.96774194,219,Hackney,2972
Sep,73.05,-10.23333333,-33.26666667,-41.2,-43.96666667,11.56666667,463,Hackney,3159
Oct,23.74193548,-11.64516129,-40.38709677,-44.4516129,-41.51612903,13.80645161,1916,Hackney,2877
Nov,32.2,-7.933333333,-57.13333333,-54.06666667,-47.53333333,18.46666667,1855,Hackney,2618
Dec,20.90322581,-10.96774194,-55.41935484,-55.90322581,-50.03225806,18.41935484,7859,Hackney,2280
Mar,-5.709677419,-13.61290323,-39.32258065,-37.93548387,-34.03225806,14.34482759,213,Hammersmith and Fulham,1603
Apr,-3.6,-41.8,-84.73333333,-81.4,-77.9,35.70833333,431,Hammersmith and Fulham,1256
May,62.32258065,-31.22580645,-80.38709677,-75.67741935,-69.67741935,28.27586207,60,Hammersmith and Fulham,1380
Jun,73.73333333,-23.76666667,-69.4,-66,-59.43333333,23.6,45,Hammersmith and Fulham,1369
Jul,68.22580645,-25.61290323,-56.4516129,-57.38709677,-52.5483871,17.5483871,42,Hammersmith and Fulham,1698
Aug,50.0625,-30.90322581,-46.19354839,-53,-51.27586207,13.25806452,136,Hammersmith and Fulham,1720
Sep,43.1,-24.43333333,-43,-45.23333333,-49.55172414,12.63333333,285,Hammersmith and Fulham,1758
Oct,2.032258065,-22.35483871,-45.64516129,-45.38709677,-46.38709677,15.09677419,1336,Hammersmith and Fulham,1848
Nov,9.9,-26.1,-65.43333333,-56.5,-53.66666667,20.1,1236,Hammersmith and Fulham,1464
Dec,-8.258064516,-25,-56.83870968,-57.41935484,-54.4516129,19.83870968,3769,Hammersmith and Fulham,1415
Mar,7.64516129,-2.612903226,-25,-31.19354839,-31.35483871,12.83870968,239,Haringey,2447
Apr,32.63333333,-32.86666667,-72.53333333,-71.06666667,-73.9,30.53333333,377,Haringey,2024
May,113.5806452,-20.67741935,-63.58064516,-62.25806452,-65,24.90322581,100,Haringey,2084
Jun,110.7666667,-14.5,-50.03333333,-53.43333333,-54.9,20.7,26,Haringey,2317
Jul,99.19354839,-15.12903226,-32.77419355,-46.87096774,-49.87096774,15.32258065,61,Haringey,2562
